path,suffix,rows,columns,read_seconds,memory_mb,error
reports\tables\01_match_rate_by_season.csv,.csv,7.0,4.0,0.011773,0.001,
reports\rankings\top_high_potential.csv,.csv,50.0,19.0,0.011619,0.031,
reports\tm3_contract_intelligence\top_contract_opportunities.csv,.csv,25.0,90.0,0.011304,0.046,
reports\tm8_migration\tm8_legacy_dependency_audit.csv,.csv,1375.0,3.0,0.011251,0.275,
reports\sprint_13a1\xgboost\tables\ml_tuned_model_comparison.csv,.csv,4.0,4.0,0.011233,0.0,
reports\sprint_13a1\ml\04_model_comparison_test.csv,.csv,4.0,5.0,0.011213,0.001,
reports\sprint_13a1\ml\tables\04_ml_undervalued_ranking_v13a1.csv,.csv,50.0,23.0,0.011201,0.03,
reports\roles\position_taxonomy_attacking_audit_v2b.csv,.csv,9.0,8.0,0.011187,0.005,
reports\sprint_13b\ml\advanced_features_performance_summary.csv,.csv,11.0,4.0,0.011181,0.002,
reports\roles\universal_role_centroids.csv,.csv,4.0,14.0,0.011176,0.002,
reports\sprint_13a1\ml\tables\04_ml_overvalued_ranking_v13a1.csv,.csv,50.0,23.0,0.011093,0.03,
reports\roles\role_explainability_no_role_summary.csv,.csv,2.0,2.0,0.011071,0.0,
reports\sprint_13b\productive\rankings\top_undervalued_by_league.csv,.csv,220.0,18.0,0.011054,0.121,
reports\model_diagnostics\ranking_tier_summary.csv,.csv,5.0,7.0,0.010997,0.001,
reports\roles\position_taxonomy_distribution.csv,.csv,8.0,5.0,0.010936,0.001,
reports\sprint_13a1\ml\tables\ml_model_comparison_v13a1.csv,.csv,8.0,6.0,0.010926,0.001,
reports\roles\position_taxonomy_attacking_audit_summary_v2b.csv,.csv,1.0,9.0,0.010854,0.0,
reports\tm3_contract_audit\contract_coverage.csv,.csv,1.0,6.0,0.010851,0.0,
reports\sprint_13a1\ols\growth_ols_temporal_v13a1_metrics.csv,.csv,2.0,6.0,0.010673,0.001,
reports\visual_identity\tm6_9_top60_player_image_fetch_audit.csv,.csv,60.0,8.0,0.010647,0.027,
reports\sprint_13b\ml\feature_sets_v13b.csv,.csv,2.0,5.0,0.010643,0.001,
reports\sprint_13a1\ml\04_ml_model_metrics.csv,.csv,8.0,6.0,0.010628,0.001,
reports\tables\03_econometric_model_coefficients.csv,.csv,17.0,8.0,0.010585,0.002,
reports\business\roi_scouting_shortlist_summary.csv,.csv,1.0,14.0,0.010584,0.0,
reports\sprint_13b\ml\ml_model_comparison_test_v13b.csv,.csv,4.0,16.0,0.010534,0.001,
reports\sprint_13b\productive\rankings\scouting_shortlist.csv,.csv,100.0,18.0,0.010494,0.055,
reports\sprint_13a1\ml\04_ml_inefficiency_by_league.csv,.csv,11.0,9.0,0.010461,0.002,
reports\sprint_13b\ml\feature_importance_all_transformed_v13b.csv,.csv,72.0,6.0,0.010355,0.021,
reports\sprint_13a1\ml\04_ml_overvalued_ranking.csv,.csv,50.0,23.0,0.010296,0.03,
reports\data_quality\tm6_8_understat_matching_audit.csv,.csv,3.0,11.0,0.010249,0.001,
reports\tm3_contract_intelligence\top_recruitment_contract_targets.csv,.csv,25.0,90.0,0.010102,0.047,
reports\rankings\top_undervalued_by_league.csv,.csv,140.0,19.0,0.01007,0.086,
reports\sprint_13b\productive\rankings\top_high_potential.csv,.csv,50.0,18.0,0.01004,0.027,
reports\sprint_13a1\econometric\03_overvalued_ranking.csv,.csv,50.0,23.0,0.009949,0.03,
reports\model_diagnostics\ranking_score_correlations.csv,.csv,6.0,7.0,0.009936,0.001,
reports\sprint_13b\productive\rankings\top_undervalued_by_position.csv,.csv,80.0,18.0,0.009934,0.044,
reports\sprint_13b\econometric\03_advanced_feature_coefficients.csv,.csv,3.0,6.0,0.009929,0.0,
reports\business\roi_scouting_shortlist.csv,.csv,100.0,24.0,0.00991,0.065,
reports\portfolio\portfolio_candidates.csv,.csv,68.0,29.0,0.009891,0.042,
reports\business\roi_global_summary.csv,.csv,1.0,14.0,0.009875,0.0,
reports\rankings\top_undervalued_global.csv,.csv,50.0,19.0,0.00982,0.031,
reports\sprint_13a1\econometric\03_inefficiency_by_league_test.csv,.csv,11.0,9.0,0.009802,0.002,
reports\data_quality\tm6_7_fbref_current_performance_audit.csv,.csv,78.0,4.0,0.009725,0.011,
reports\sprint_13b\econometric\03_econometric_model_coefficients.csv,.csv,21.0,6.0,0.00969,0.002,
reports\sprint_13b\productive\ml_model_comparison_v13b.csv,.csv,8.0,16.0,0.009686,0.003,
reports\portfolio\scenarios\recommended_portfolio_balanced.csv,.csv,5.0,29.0,0.009681,0.003,
reports\rankings\top_undervalued_by_position.csv,.csv,64.0,19.0,0.009604,0.039,
reports\strategy\scenario_comparison.csv,.csv,3.0,14.0,0.009576,0.001,
reports\sprint_13a1\econometric\03_undervalued_ranking.csv,.csv,50.0,23.0,0.009563,0.03,
reports\sprint_13a1\econometric\03_strict_matching_metrics.csv,.csv,1.0,6.0,0.009557,0.0,
reports\sprint_13b\productive\ml_model_comparison_raw_v13b.csv,.csv,16.0,7.0,0.009551,0.004,
reports\portfolio\scenarios\recommended_portfolio_aggressive.csv,.csv,5.0,29.0,0.009529,0.003,
reports\roles\role_explainability_summary.csv,.csv,9.0,12.0,0.009527,0.002,
reports\roles\role_distribution.csv,.csv,35.0,5.0,0.009441,0.007,
reports\strategy\optimized_transfer_portfolio.csv,.csv,5.0,32.0,0.009387,0.004,
reports\data_quality\tm6_5_14\dataset_inventory_and_scope.csv,.csv,7.0,15.0,0.009308,0.005,
reports\business\transfer_strategy_analysis.csv,.csv,16.0,16.0,0.009285,0.004,
reports\roles\position_taxonomy_representatives_v2.csv,.csv,105.0,11.0,0.009241,0.032,
reports\tables\02_baseline_overvalued_ranking.csv,.csv,25.0,18.0,0.00924,0.012,
reports\data_quality\tm6_8_understat_schema_availability.csv,.csv,19.0,3.0,0.009224,0.002,
reports\data_quality\tm6_5_14\player_profile_validation_sample_random20.csv,.csv,20.0,10.0,0.009176,0.008,
reports\rankings\top_low_risk.csv,.csv,50.0,19.0,0.009174,0.031,
reports\data_quality\tm41_market_value_audit.csv,.csv,109.0,9.0,0.009174,0.018,
reports\tables\03_overvalued_ranking.csv,.csv,50.0,18.0,0.009129,0.021,
reports\sprint_13a1\econometric\03_vif_table.csv,.csv,17.0,2.0,0.009119,0.001,
reports\data_quality\tm7_player_identity_current_audit.csv,.csv,1.0,9.0,0.009091,0.0,
reports\roles\position_taxonomy_representatives.csv,.csv,105.0,7.0,0.008998,0.029,
reports\roles\universal_role_representatives.csv,.csv,40.0,12.0,0.008988,0.022,
reports\portfolio\scenarios\recommended_portfolio_conservative.csv,.csv,5.0,29.0,0.008953,0.003,
reports\data_quality\tm6_8_understat_league_coverage_audit.csv,.csv,65.0,10.0,0.00895,0.036,
reports\sprint_13b\ml\ml_model_comparison_raw_v13b.csv,.csv,16.0,7.0,0.008919,0.004,
reports\roles\position_taxonomy_validation_v2.csv,.csv,25.0,8.0,0.008908,0.013,
reports\roles\role_label_mapping.csv,.csv,9.0,7.0,0.008906,0.007,
reports\sprint_13b\ml\feature_importance_all_aggregated_v13b.csv,.csv,33.0,7.0,0.008888,0.008,
